A1.1	S1.1	Definir	Reformular narrativa / big idea / mecanismo único		f		candidate	3
A1.2	S1.1	Escribir	Escribir guion de venta largo (VSL/PSL/SL/TSL)		f		candidate	4
A1.3	S1.2	Definir	Adaptar/empaquetar oferta a un formato		f		candidate	2
A1.4	S1.1	Producir/Crear	Graficar escalera de valor		f		candidate	0
A1.5	S1.1	Revisar/Aprobar	Revisar y aprobar narrativa (gate)		t		candidate	1
A1.6	S1.1	Definir	Definir ángulo de comunicación / posicionamiento		f		candidate	2
A10.1	S10.1	Coordinar/Seguir	Aterrizar acta → tareas en plataforma		f		candidate	0
A10.2	S10.1	Coordinar/Seguir	Seguimiento/chase de entregable		f		candidate	5
A10.3	S10.1	Medir/Analizar	Entregar reportes semanales de reuniones		f		candidate	0
A10.4	S10.2	Gestionar acceso	Organizar/separar espacios de gestión		f		candidate	0
A10.5	S10.1	Coordinar/Seguir	Coordinar/agendar reunión (agenda, asistentes, grabación)		f		candidate	6
A11.1	S11.1	Producir/Crear	Desarrollar feature de Paralelo (vistas por estado/miembro/cliente, taskboards, uploads de Drive)		f		candidate	3
A11.2	S11.2	Integrar	Integrar sistema externo con Paralelo (Stripe/Biturbo/Cloud/Notion/Drive)		f		candidate	2
A11.3	S11.2	Configurar	Implementar tracking de origen de ventas (VSL/orgánico/CTR)		f		candidate	2
A11.4	S11.3	Producir/Crear	Construir herramienta de IA / knowledge (Ask the Graph / skills)		f		candidate	0
A12.1	S12.1	Definir	Definir cuotas y objetivos de ventas (semanales/mensuales)		f		candidate	0
A12.2	S12.1	Capacitar	Alinear/capacitar a los closers (discurso, expectativas, desempeño)		f		candidate	2
A12.3	S12.2	Definir	Diseñar protocolo de manejo de objeciones		f		candidate	0
A12.4	S12.2	Medir/Analizar	Analizar/mejorar retención y ascensión entre niveles (Academy→Mastermind)		f		candidate	2
A12.5	S12.3	Medir/Analizar	Modelar forecast de ingresos		f		candidate	1
A12.6	S12.4	Gestionar acceso	Proveer data de trading a closers		f		candidate	1
A12.7	S12.2	Configurar	Implementar encuesta de satisfacción/seguimiento de clientes		f		candidate	1
